Model,Subgroup_variable,Subgroup_level,n_respondents,n_choice_sets,n_observations,Variable,Coefficient,SE,z_value,p_value,Odds_Ratio,Significance
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,ReliabilityHigh,0.025304375185206385,0.8205622370317721,0.03083785000482127,0.9753988548253593,1.0256272485037294,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,ReliabilityMedium,0.8385863140051115,0.5505877209169298,1.5230748564616714,0.12773997855291852,2.313094674775729,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,Smart_CockpitAdvanced,0.6455504313330963,0.39017139686063057,1.654530384664992,0.09801979493969883,1.9070364330391711,.
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,Smart_CockpitIntermediate,0.735578348890311,0.39524865704273554,1.8610521143675334,0.06273681757392463,2.0866884775521712,.
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,Convenience_intDifficult,-0.38546879569412273,0.2568120405116682,-1.500976336335792,0.13336168220853528,0.6801317186357041,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,Convenience_intEasy,0.0672055140740563,0.40242570574981884,0.16700104668720345,0.8673692253540083,1.0695152560276373,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,BEV_Easy,0.5427719492993167,0.8903916829325533,0.6095878473523785,0.5421348638965581,1.7207701449432964,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,PowertrainBEV:ReliabilityHigh,-0.8073849776645589,0.698698975585552,-1.1555548324482963,0.24786329207646904,0.4460229023746967,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,PowertrainBEV:ReliabilityMedium,-0.43737734999700056,0.7475699979792244,-0.5850654135121613,0.5585037336468516,0.6457277200780465,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,PowertrainBEV:Smart_CockpitAdvanced,0.6184999470051714,0.40954458313223113,1.5102139607727985,0.1309888375032771,1.8561416416664538,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,PowertrainBEV:Smart_CockpitIntermediate,-0.4138079347490007,0.43888705782407006,-0.9428574558579887,0.345753818557108,0.6611279187721608,
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,"Purchase_PriceRMB 150,000–170,000",-0.1708157015641625,0.3589078343047871,-0.47593193917050186,0.6341228669871268,0.8429769184837825,
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,"Purchase_PriceRMB 190,000–210,000",-0.11099654507984127,0.3299404867217105,-0.33641383687919973,0.7365588166136803,0.8949418408762967,
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,Monthly_Operating_CostRMB 300/month,0.9352357109971778,0.3806839868141418,2.456724588874762,0.014021013096584071,2.547813934729891,*
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,Monthly_Operating_CostRMB 600/month,0.6936915926004259,0.29806179303398633,2.3273415406225113,0.01994709449475192,2.0010891205192234,*
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,Cabin_ComfortImproved,-0.8081761016571548,2.023512591280459,-0.3993926724941943,0.6896038922618845,0.4456701824963566,
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,Cabin_ComfortPremium,-0.5919770518822077,0.7320128144610089,-0.8086976623736958,0.41868907311996123,0.5532324335782567,
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,PowertrainBEV,-0.6519539368266607,0.3513466889052053,-1.8555858285107116,0.063512615176214,0.5210267281950768,.
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,ReliabilityHigh,-0.44859253922892495,0.7880990826721951,-0.5692083001897291,0.5692147885223786,0.6385262200815254,
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,ReliabilityMedium,0.31082593989617563,0.42454534209422073,0.7321383821170108,0.4640841088910893,1.3645516865058787,
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,Smart_CockpitAdvanced,-0.14722503620153005,0.3153037232605634,-0.46693085219252223,0.6405493510507021,0.8630997268763595,
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,Smart_CockpitIntermediate,0.06408049150959398,0.304819409869677,0.21022444580215893,0.8334925008623733,1.0661782136016849,
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,Convenience_intDifficult,-0.3838577840766888,0.23928173485773724,-1.6042084629021431,0.10866810992088857,0.6812283018027534,
M56 subgroup: EV_experience = No EV experience,EV_experience,No EV experience,54,528,1056,Convenience_intEasy,0.4391178031413329,0.36323753563140015,1.208899852208372,0.2267013229563907,1.551338029116827,
